Date,Name,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,Movie 9,Movie 10
4/1/25 7:50,Julie/Jay,The Wild Robot,Princess Mononoke,Wendell and Wild,Everything Everywhere All at Once,Hereditary,Baby Driver,The Truman Show,Perfect Blue,Midsommar,Stand by Me
4/5/24 17:13,Lily,toy story,10 Things I Hate About You,Crazy Rich Asians,Divergent,The Hunger Games,Mean Girls,The Lion King,Mamma Mia,Avatar,Pitch Perfect 2
4/5/24 15:16,Peter,,,,,,,,,,
4/5/24 13:05,Cassandra,Mean girls,Jumanji,Anyone but you,,Wonka and the Chocolate Factory,Star wars,Jungle Book,Cinderella,Snow White,Ant Man
4/5/24 12:58,Aydan,La La Land,Interstellar,Animal Farm,Texas Chainsaw Massacre,Forest Gump,Avengers: Infinity Wars,Alice in Wonderland,Boogie Nights,21 Jumpstreet,
4/5/24 12:58,Nadim,The Irishman,The Godfather,Lupin,The Dark Knight,Terminator 2,Wolf of Wall Street,Avengers: Endgame,Titanic,Oppenheimer,Vikings
4/5/24 12:58,Tommy,The Great Gatsby,Cars 1,Cars 2,Cars 3,Carrie,Finding Nemo,Finding Dory,Ratatouille,Annie,The Telemarketer
4/5/24 12:58,Lucas,The gambler,Cats,Margin call,Jumanji,Gangs of New York,Shrek,Shrek 2,Shrek 3,The big short,Baby driver
4/5/24 12:58,Margaret,Good Will Hunting,The Departed,La Haine,Inception,The Wedding Singer,Juno,About Schmidt,500 days of summer,,
4/5/24 12:58,Henri,spiderman,,batman,pirates of carribean,kung fu panda,godzilla,,,,avengers
4/5/24 12:58,Eduardo,Star Wars,,,Shawshank Redemption,Shutter Island,Se7en,One flew over the cuckoos nest,,Cars,
4/5/24 12:58,Beiheng,overwatch,Spiderman,star war,batman,ironman,capitan American,fighting wolf 2,barrbie,???,joker
4/5/24 12:57,Jack,Interstellar,The Matrix,Inception,The Departed,Fight Club,Gone Girl,Ready Player One,Step Brothers,The Meg,Mario Bros
4/5/24 12:57,Joey,Inception,Shrek,Star Wars,Harry Potter,Good Will Hunting,Surfs Up,Bee Movie,Avengers,Ant Bully,Notebook
4/5/24 12:57,Gianna,Howls Moving Castle,Mean girls,Big Fish,Five Nights at Freddys,My Neighbor Totoro,Hunger Games,Divergent,Kikis Delivery Service,The Mario Movie,Inside Out
4/5/24 12:57,Nighten,Puss and Butts,How to train your dragon,Kung Fu Panda,Charlie and the Chocolate Factory,,,,,,
4/5/24 12:57,Lorenzo,Inglorious Basterds,Creed,Prisioners,Se7en,Whiplash,Avengers Infinity War,Batman: The dark knight,Star Wars: Revenge of the Sith,James Bond Casino Royale,The Hangover
4/5/24 12:57,Yiye,Gone with the Wind,Pride and Prejudice,The Pursuit of Happyness,The Green Mile,The Shawshank Redemption,Forrest Gump,The Secret Life of Walter Mitt,The Legend of 1900,The Truman Show,Oliver Twist
4/5/24 12:57,emily,frozen,toy story,mean girls,10 things i hate about you,to all the boys i've loved before,star wars,harry potter,et,the conjuring,inside out
4/5/24 12:57,Lucas,Superbad,,,Pulp Fiction,Groundhog Day,The Lego Movie,Monkey Man,Saw,Indiana Jones,Shawshank Redemption
4/5/24 12:57,chicago,,tangled,,,,,,,,
4/5/24 12:57,Abigail,Star Wars: A New Hope,The Princess Bride,Beauty and the Beast,Pride and Prejudice,Avengers Endgame,Ferrari,,,,
4/5/24 12:57,Ryden,Dune 2,Star wars,Godzilla,megamind,,Oppenheimer,Uncut Gems,Bee movie,Desipicable me,Shrek
4/5/24 12:57,Jason,Star Wars,Dune,Cars 2,Spiderman 2,Avengers,Minions,Cloudy with a Chance of Meatballs,Toy Story,Penguins of Madagascar,Mulan
4/5/24 12:56,Leah,,,About Time,Elemental,Beautiful Boy,Jennifer's Body,Parasite,,Bottoms,Frozen
